ChargeSheet_ID,FIR_ID,Accused_ID,Crime_Type,Sections,Investigating_Officer,Court,Witness_Count,Evidence_Count,ChargeSheet_Date,Status
CS202500631,FIR202504641,P009689,Burglary,"BNS 331(3), BNS 331(4)",PI Ramesh Gowda,Bengaluru Rural District & Sessions Court,11,5,2025-06-29,Pending Scrutiny
CS202500747,FIR202502334,P000229,POCSO,"POCSO Act Sec 4, BNS 64",PI Suresh Kulkarni,Bengaluru Rural District & Sessions Court,2,18,2025-06-29,Filed
CS202500470,FIR202504208,P003244,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Naveen Patil,Bengaluru Urban District & Sessions Court,10,11,2025-06-29,Accepted
CS202500729,FIR202501073,P009320,Dacoity,BNS 310(2),PI Suresh Kulkarni,Bidar District & Sessions Court,4,25,2025-06-29,Pending Scrutiny
CS202500787,FIR202500618,P004906,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Divya Hegde,Chamarajanagar District & Sessions Court,15,4,2025-06-29,Returned for Correction
CS202500608,FIR202502644,P008086,Vehicle Theft,BNS 303(2),SI Ganesh Rao,Belagavi District & Sessions Court,8,7,2025-06-29,Accepted
CS202500692,FIR202500946,P001244,Vehicle Theft,BNS 303(2),PI Ramesh Gowda,Chamarajanagar District & Sessions Court,2,29,2025-06-29,Filed
CS202500509,FIR202500798,P004962,Assault,"BNS 115(2), BNS 117(2)",SI Ganesh Rao,Bengaluru Urban District & Sessions Court,16,9,2025-06-29,Filed
CS202500472,FIR202502954,P000680,Robbery,BNS 309(4),SI Prakash Sharma,Belagavi District & Sessions Court,7,13,2025-06-29,Filed
CS202500489,FIR202504754,P000400,Assault,"BNS 115(2), BNS 117(2)",PI Suresh Kulkarni,Bagalkote District & Sessions Court,8,16,2025-06-29,Accepted
CS202500536,FIR202502384,P007365,Assault,"BNS 115(2), BNS 117(2)",PI Lakshmi Devi,Bagalkote District & Sessions Court,4,22,2025-06-30,Filed
CS202500490,FIR202504647,P004472,Assault,"BNS 115(2), BNS 117(2)",SI Prakash Sharma,Belagavi District & Sessions Court,12,28,2025-06-30,Filed
CS202500885,FIR202504304,P004578,Murder,BNS 103(1),PI Naveen Patil,Bengaluru Rural District & Sessions Court,4,28,2025-06-30,Accepted
CS202500758,FIR202502600,P007393,Burglary,"BNS 331(3), BNS 331(4)",PI Lakshmi Devi,Bengaluru Rural District & Sessions Court,17,19,2025-06-30,Pending Scrutiny
CS202500777,FIR202502008,P009810,Dacoity,BNS 310(2),SI Ganesh Rao,Chamarajanagar District & Sessions Court,15,24,2025-06-30,Filed
CS202500636,FIR202504758,P009708,Dacoity,BNS 310(2),SI Ravi Kumar,Bidar District & Sessions Court,12,14,2025-06-30,Pending Scrutiny
CS202500793,FIR202500925,P002245,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Lakshmi Devi,Bidar District & Sessions Court,9,13,2025-06-30,Filed
CS202500354,FIR202504222,P000066,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Divya Hegde,Bengaluru Urban District & Sessions Court,14,30,2025-06-30,Filed
CS202500898,FIR202502754,P009723,Fraud,BNS 318(4),PI Naveen Patil,Bengaluru Urban District & Sessions Court,6,21,2025-06-30,Pending Scrutiny
CS202500668,FIR202504193,P008878,Assault,"BNS 115(2), BNS 117(2)",PI Ramesh Gowda,Bidar District & Sessions Court,13,22,2025-07-01,Returned for Correction
CS202500733,FIR202500808,P009067,Murder,BNS 103(1),SI Ganesh Rao,Bidar District & Sessions Court,15,26,2025-07-01,Pending Scrutiny
CS202500562,FIR202503012,P009447,Murder,BNS 103(1),SI Ganesh Rao,Bagalkote District & Sessions Court,2,11,2025-07-01,Filed
CS202500544,FIR202504142,P008132,Vehicle Theft,BNS 303(2),SI Divya Hegde,Belagavi District & Sessions Court,5,18,2025-07-01,Filed
CS202500626,FIR202503155,P002284,Fraud,BNS 318(4),PI Harish Naik,Bengaluru Urban District & Sessions Court,16,24,2025-07-01,Pending Scrutiny
CS202500800,FIR202502768,P009891,POCSO,"POCSO Act Sec 4, BNS 64",PI Suresh Kulkarni,Ballari District & Sessions Court,12,25,2025-07-01,Filed
CS202500805,FIR202502836,P007109,Dacoity,BNS 310(2),PI Naveen Patil,Belagavi District & Sessions Court,13,19,2025-07-02,Accepted
CS202500894,FIR202503951,P009158,Vehicle Theft,BNS 303(2),PI Suresh Kulkarni,Bidar District & Sessions Court,3,8,2025-07-02,Returned for Correction
CS202500848,FIR202503869,P001762,Burglary,"BNS 331(3), BNS 331(4)",SI Ganesh Rao,Bidar District & Sessions Court,15,10,2025-07-02,Filed
CS202500757,FIR202501854,P001654,Fraud,BNS 318(4),PI Harish Naik,Chamarajanagar District & Sessions Court,4,13,2025-07-02,Accepted
CS202500648,FIR202504845,P007658,Assault,"BNS 115(2), BNS 117(2)",SI Ganesh Rao,Ballari District & Sessions Court,11,17,2025-07-02,Filed
CS202500728,FIR202502200,P009975,Theft,BNS 303(2),SI Mahesh Bhat,Ballari District & Sessions Court,12,26,2025-07-02,Accepted
CS202500575,FIR202504317,P001902,Assault,"BNS 115(2), BNS 117(2)",SI Ravi Kumar,Belagavi District & Sessions Court,7,29,2025-07-03,Accepted
CS202500605,FIR202503497,P005131,NDPS,NDPS Act Sec 20(b),PI Lakshmi Devi,Bengaluru Rural District & Sessions Court,10,11,2025-07-03,Pending Scrutiny
CS202500687,FIR202501058,P005006,Assault,"BNS 115(2), BNS 117(2)",PI Naveen Patil,Belagavi District & Sessions Court,14,30,2025-07-03,Pending Scrutiny
CS202500563,FIR202504323,P005112,Murder,BNS 103(1),PI Lakshmi Devi,Bengaluru Rural District & Sessions Court,8,11,2025-07-03,Pending Scrutiny
CS202500553,FIR202501606,P009052,Murder,BNS 103(1),PI Harish Naik,Bidar District & Sessions Court,5,23,2025-07-03,Returned for Correction
CS202500532,FIR202502974,P009916,Assault,"BNS 115(2), BNS 117(2)",SI Ravi Kumar,Bagalkote District & Sessions Court,3,17,2025-07-03,Filed
CS202500776,FIR202504838,P008303,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Prakash Sharma,Ballari District & Sessions Court,9,5,2025-07-03,Returned for Correction
CS202500710,FIR202502978,P008102,Dacoity,BNS 310(2),PI Naveen Patil,Chamarajanagar District & Sessions Court,13,3,2025-07-03,Pending Scrutiny
CS202500656,FIR202503194,P009283,Fraud,BNS 318(4),SI Ravi Kumar,Belagavi District & Sessions Court,7,6,2025-07-03,Accepted
CS202500495,FIR202501081,P002167,Dacoity,BNS 310(2),PI Suresh Kulkarni,Bengaluru Urban District & Sessions Court,10,15,2025-07-03,Filed
CS202500713,FIR202503256,P004147,Murder,BNS 103(1),SI Mahesh Bhat,Ballari District & Sessions Court,16,28,2025-07-03,Returned for Correction
CS202500935,FIR202500683,P005661,Burglary,"BNS 331(3), BNS 331(4)",SI Mahesh Bhat,Chikkaballapura District & Sessions Court,10,8,2025-07-03,Filed
CS202500528,FIR202502021,P007877,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Suresh Kulkarni,Bengaluru Urban District & Sessions Court,18,9,2025-07-04,Returned for Correction
CS202500932,FIR202504292,P002460,Assault,"BNS 115(2), BNS 117(2)",SI Ganesh Rao,Chamarajanagar District & Sessions Court,4,18,2025-07-04,Pending Scrutiny
CS202500897,FIR202504121,P004687,Fraud,BNS 318(4),SI Ganesh Rao,Bengaluru Urban District & Sessions Court,17,25,2025-07-04,Accepted
CS202501000,FIR202503018,P001762,Theft,BNS 303(2),SI Prakash Sharma,Bagalkote District & Sessions Court,5,26,2025-07-04,Pending Scrutiny
CS202500657,FIR202504630,P008724,Theft,BNS 303(2),PI Ramesh Gowda,Ballari District & Sessions Court,10,10,2025-07-04,Accepted
CS202500494,FIR202500657,P000727,Murder,BNS 103(1),SI Divya Hegde,Bengaluru Rural District & Sessions Court,5,25,2025-07-05,Returned for Correction
CS202500699,FIR202500403,P001002,Dacoity,BNS 310(2),PI Naveen Patil,Bagalkote District & Sessions Court,12,27,2025-07-05,Returned for Correction
CS202500779,FIR202504797,P008579,Dacoity,BNS 310(2),PI Suresh Kulkarni,Chamarajanagar District & Sessions Court,14,8,2025-07-05,Filed
CS202500770,FIR202502119,P003514,POCSO,"POCSO Act Sec 4, BNS 64",SI Divya Hegde,Bidar District & Sessions Court,7,22,2025-07-05,Pending Scrutiny
CS202500914,FIR202503385,P002080,POCSO,"POCSO Act Sec 4, BNS 64",PI Suresh Kulkarni,Chikkaballapura District & Sessions Court,15,27,2025-07-05,Pending Scrutiny
CS202500936,FIR202504018,P001322,Vehicle Theft,BNS 303(2),PI Lakshmi Devi,Bengaluru Rural District & Sessions Court,18,27,2025-07-05,Filed
CS202500652,FIR202502395,P004064,NDPS,NDPS Act Sec 20(b),SI Divya Hegde,Chamarajanagar District & Sessions Court,3,24,2025-07-06,Accepted
CS202500683,FIR202500111,P003411,Murder,BNS 103(1),PI Naveen Patil,Bengaluru Rural District & Sessions Court,14,5,2025-07-06,Filed
CS202500723,FIR202502332,P004208,POCSO,"POCSO Act Sec 4, BNS 64",PI Ramesh Gowda,Bengaluru Rural District & Sessions Court,7,6,2025-07-06,Pending Scrutiny
CS202500511,FIR202502375,P008106,Fraud,BNS 318(4),SI Divya Hegde,Bengaluru Urban District & Sessions Court,10,6,2025-07-06,Pending Scrutiny
CS202500939,FIR202500674,P006441,Murder,BNS 103(1),PI Chetan Kumar,Bidar District & Sessions Court,18,16,2025-07-06,Returned for Correction
CS202500491,FIR202505000,P001615,Robbery,BNS 309(4),PI Suresh Kulkarni,Ballari District & Sessions Court,14,18,2025-07-07,Returned for Correction
CS202500696,FIR202503114,P001567,POCSO,"POCSO Act Sec 4, BNS 64",PI Ramesh Gowda,Chamarajanagar District & Sessions Court,5,20,2025-07-07,Pending Scrutiny
CS202500474,FIR202504140,P007049,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Prakash Sharma,Bengaluru Urban District & Sessions Court,6,12,2025-07-07,Accepted
CS202500840,FIR202503047,P001341,Vehicle Theft,BNS 303(2),SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,12,15,2025-07-07,Filed
CS202500918,FIR202501794,P007812,Robbery,BNS 309(4),SI Mahesh Bhat,Bagalkote District & Sessions Court,11,21,2025-07-07,Filed
CS202500546,FIR202502267,P008819,NDPS,NDPS Act Sec 20(b),PI Lakshmi Devi,Chikkaballapura District & Sessions Court,6,23,2025-07-07,Accepted
CS202500722,FIR202502979,P000524,Theft,BNS 303(2),PI Ramesh Gowda,Bengaluru Rural District & Sessions Court,2,21,2025-07-07,Returned for Correction
CS202500868,FIR202500955,P004716,Robbery,BNS 309(4),SI Divya Hegde,Chamarajanagar District & Sessions Court,7,26,2025-07-07,Returned for Correction
CS202500703,FIR202504626,P008158,Theft,BNS 303(2),SI Prakash Sharma,Bengaluru Urban District & Sessions Court,5,8,2025-07-07,Filed
CS202500611,FIR202502197,P002392,Dacoity,BNS 310(2),PI Lakshmi Devi,Bidar District & Sessions Court,16,28,2025-07-07,Filed
CS202500788,FIR202500489,P006248,Fraud,BNS 318(4),SI Ravi Kumar,Bengaluru Urban District & Sessions Court,2,20,2025-07-07,Accepted
CS202500678,FIR202504975,P005989,Murder,BNS 103(1),SI Ganesh Rao,Ballari District & Sessions Court,5,12,2025-07-07,Returned for Correction
CS202500685,FIR202501499,P009965,NDPS,NDPS Act Sec 20(b),PI Harish Naik,Belagavi District & Sessions Court,3,13,2025-07-07,Accepted
CS202500845,FIR202502623,P004994,Assault,"BNS 115(2), BNS 117(2)",SI Ganesh Rao,Bengaluru Rural District & Sessions Court,18,24,2025-07-08,Returned for Correction
CS202500864,FIR202502308,P001784,Dacoity,BNS 310(2),PI Ramesh Gowda,Chamarajanagar District & Sessions Court,2,26,2025-07-08,Returned for Correction
CS202500869,FIR202502533,P006464,NDPS,NDPS Act Sec 20(b),PI Naveen Patil,Belagavi District & Sessions Court,3,6,2025-07-08,Pending Scrutiny
CS202500823,FIR202502520,P005020,Assault,"BNS 115(2), BNS 117(2)",PI Harish Naik,Chikkaballapura District & Sessions Court,13,4,2025-07-08,Pending Scrutiny
CS202500650,FIR202503938,P006209,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Prakash Sharma,Bengaluru Urban District & Sessions Court,12,15,2025-07-08,Pending Scrutiny
CS202500475,FIR202503973,P007035,POCSO,"POCSO Act Sec 4, BNS 64",PI Lakshmi Devi,Belagavi District & Sessions Court,18,20,2025-07-08,Accepted
CS202500617,FIR202504211,P007534,Theft,BNS 303(2),SI Ganesh Rao,Belagavi District & Sessions Court,2,26,2025-07-08,Filed
CS202500859,FIR202501087,P005058,Fraud,BNS 318(4),SI Prakash Sharma,Chamarajanagar District & Sessions Court,17,18,2025-07-08,Filed
CS202500529,FIR202503782,P007377,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Naveen Patil,Bengaluru Urban District & Sessions Court,11,3,2025-07-08,Accepted
CS202500763,FIR202504461,P000380,Robbery,BNS 309(4),SI Ravi Kumar,Chamarajanagar District & Sessions Court,12,8,2025-07-08,Returned for Correction
CS202500849,FIR202502321,P001062,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Suresh Kulkarni,Chikkaballapura District & Sessions Court,2,4,2025-07-08,Accepted
CS202500613,FIR202501653,P009107,Dacoity,BNS 310(2),PI Chetan Kumar,Belagavi District & Sessions Court,7,3,2025-07-08,Accepted
CS202500622,FIR202504151,P004313,Assault,"BNS 115(2), BNS 117(2)",SI Ganesh Rao,Chamarajanagar District & Sessions Court,11,27,2025-07-08,Filed
CS202500603,FIR202500430,P007941,Robbery,BNS 309(4),SI Ravi Kumar,Bengaluru Urban District & Sessions Court,13,17,2025-07-09,Pending Scrutiny
CS202500508,FIR202500670,P000877,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Ramesh Gowda,Bengaluru Urban District & Sessions Court,8,8,2025-07-09,Returned for Correction
CS202500591,FIR202500725,P006035,Burglary,"BNS 331(3), BNS 331(4)",PI Chetan Kumar,Chikkaballapura District & Sessions Court,7,18,2025-07-09,Filed
CS202500911,FIR202504223,P003156,Vehicle Theft,BNS 303(2),PI Harish Naik,Bengaluru Rural District & Sessions Court,2,5,2025-07-10,Filed
CS202500689,FIR202504960,P002883,POCSO,"POCSO Act Sec 4, BNS 64",SI Prakash Sharma,Bengaluru Rural District & Sessions Court,9,10,2025-07-10,Filed
CS202500738,FIR202504801,P008920,NDPS,NDPS Act Sec 20(b),PI Ramesh Gowda,Ballari District & Sessions Court,3,23,2025-07-10,Accepted
CS202500569,FIR202501215,P000865,Murder,BNS 103(1),SI Ganesh Rao,Bidar District & Sessions Court,6,3,2025-07-10,Filed
CS202500943,FIR202502160,P006425,Murder,BNS 103(1),PI Ramesh Gowda,Chikkaballapura District & Sessions Court,11,19,2025-07-10,Accepted
CS202500784,FIR202504148,P005783,Assault,"BNS 115(2), BNS 117(2)",PI Suresh Kulkarni,Bengaluru Rural District & Sessions Court,10,18,2025-07-11,Returned for Correction
CS202500469,FIR202503510,P008227,NDPS,NDPS Act Sec 20(b),SI Divya Hegde,Bengaluru Rural District & Sessions Court,11,15,2025-07-11,Filed
CS202500644,FIR202504636,P007768,Vehicle Theft,BNS 303(2),SI Ravi Kumar,Ballari District & Sessions Court,6,7,2025-07-11,Accepted
CS202500501,FIR202500171,P009711,Vehicle Theft,BNS 303(2),PI Naveen Patil,Bengaluru Urban District & Sessions Court,10,22,2025-07-11,Filed
CS202500715,FIR202501373,P001024,NDPS,NDPS Act Sec 20(b),SI Prakash Sharma,Chamarajanagar District & Sessions Court,5,30,2025-07-11,Filed
CS202500688,FIR202504019,P000629,Vehicle Theft,BNS 303(2),PI Naveen Patil,Ballari District & Sessions Court,13,5,2025-07-11,Returned for Correction
CS202500653,FIR202504991,P003782,Robbery,BNS 309(4),PI Suresh Kulkarni,Bengaluru Rural District & Sessions Court,17,22,2025-07-11,Returned for Correction
CS202500817,FIR202503918,P006764,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ravi Kumar,Bengaluru Urban District & Sessions Court,17,13,2025-07-11,Filed
CS202500679,FIR202500984,P007408,Dacoity,BNS 310(2),PI Ramesh Gowda,Bidar District & Sessions Court,16,19,2025-07-11,Filed
CS202500905,FIR202503070,P006584,Vehicle Theft,BNS 303(2),SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,3,3,2025-07-12,Accepted
CS202500737,FIR202503815,P005421,Vehicle Theft,BNS 303(2),PI Ramesh Gowda,Bidar District & Sessions Court,8,13,2025-07-12,Filed
CS202500856,FIR202500567,P008773,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ravi Kumar,Bagalkote District & Sessions Court,14,10,2025-07-12,Filed
CS202500750,FIR202503594,P006024,Vehicle Theft,BNS 303(2),PI Chetan Kumar,Ballari District & Sessions Court,18,20,2025-07-12,Pending Scrutiny
CS202500414,FIR202501855,P008875,Vehicle Theft,BNS 303(2),SI Mahesh Bhat,Chamarajanagar District & Sessions Court,5,26,2025-07-12,Pending Scrutiny
CS202500632,FIR202503765,P007244,Fraud,BNS 318(4),SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,3,9,2025-07-12,Filed
CS202500597,FIR202500026,P005911,Robbery,BNS 309(4),SI Divya Hegde,Bidar District & Sessions Court,7,14,2025-07-12,Pending Scrutiny
CS202500992,FIR202503409,P008880,NDPS,NDPS Act Sec 20(b),PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,6,28,2025-07-12,Accepted
CS202500693,FIR202503839,P009512,Vehicle Theft,BNS 303(2),SI Ganesh Rao,Bengaluru Urban District & Sessions Court,8,7,2025-07-13,Pending Scrutiny
CS202500642,FIR202500814,P006484,Dacoity,BNS 310(2),PI Suresh Kulkarni,Ballari District & Sessions Court,14,16,2025-07-13,Filed
CS202500782,FIR202500007,P001577,NDPS,NDPS Act Sec 20(b),PI Chetan Kumar,Ballari District & Sessions Court,17,14,2025-07-13,Accepted
CS202500702,FIR202503162,P001894,Theft,BNS 303(2),PI Harish Naik,Bidar District & Sessions Court,6,11,2025-07-13,Pending Scrutiny
CS202500451,FIR202503873,P004100,Burglary,"BNS 331(3), BNS 331(4)",SI Ravi Kumar,Chamarajanagar District & Sessions Court,17,27,2025-07-13,Accepted
CS202500743,FIR202503779,P005416,Murder,BNS 103(1),PI Ramesh Gowda,Bagalkote District & Sessions Court,9,20,2025-07-13,Returned for Correction
CS202500772,FIR202500287,P007618,NDPS,NDPS Act Sec 20(b),PI Suresh Kulkarni,Bidar District & Sessions Court,16,4,2025-07-13,Pending Scrutiny
CS202501009,FIR202503122,P007731,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Prakash Sharma,Bengaluru Rural District & Sessions Court,13,16,2025-07-13,Returned for Correction
CS202500837,FIR202502471,P003750,Vehicle Theft,BNS 303(2),PI Naveen Patil,Bagalkote District & Sessions Court,3,13,2025-07-13,Filed
CS202500513,FIR202503292,P008019,Dacoity,BNS 310(2),PI Harish Naik,Bengaluru Rural District & Sessions Court,13,12,2025-07-13,Pending Scrutiny
CS202500565,FIR202503666,P001436,Vehicle Theft,BNS 303(2),PI Lakshmi Devi,Bagalkote District & Sessions Court,6,18,2025-07-14,Pending Scrutiny
CS202500616,FIR202500278,P009674,Vehicle Theft,BNS 303(2),SI Ravi Kumar,Ballari District & Sessions Court,13,4,2025-07-15,Accepted
CS202500502,FIR202500435,P003799,POCSO,"POCSO Act Sec 4, BNS 64",PI Lakshmi Devi,Chamarajanagar District & Sessions Court,14,3,2025-07-15,Filed
CS202500790,FIR202503617,P005963,Assault,"BNS 115(2), BNS 117(2)",PI Harish Naik,Chamarajanagar District & Sessions Court,17,19,2025-07-15,Filed
CS202500889,FIR202502127,P005809,POCSO,"POCSO Act Sec 4, BNS 64",SI Ravi Kumar,Bengaluru Urban District & Sessions Court,17,3,2025-07-15,Accepted
CS202500998,FIR202501861,P008562,Assault,"BNS 115(2), BNS 117(2)",SI Divya Hegde,Bidar District & Sessions Court,13,21,2025-07-16,Pending Scrutiny
CS202500769,FIR202500261,P004302,Assault,"BNS 115(2), BNS 117(2)",PI Chetan Kumar,Bengaluru Urban District & Sessions Court,15,29,2025-07-16,Accepted
CS202500890,FIR202500914,P002965,NDPS,NDPS Act Sec 20(b),PI Naveen Patil,Belagavi District & Sessions Court,3,7,2025-07-16,Filed
CS202500724,FIR202504634,P008151,Dacoity,BNS 310(2),SI Prakash Sharma,Chikkaballapura District & Sessions Court,17,14,2025-07-16,Pending Scrutiny
CS202501068,FIR202504582,P006897,Vehicle Theft,BNS 303(2),PI Suresh Kulkarni,Chamarajanagar District & Sessions Court,3,29,2025-07-16,Filed
CS202500941,FIR202500936,P002831,Fraud,BNS 318(4),SI Prakash Sharma,Chamarajanagar District & Sessions Court,18,18,2025-07-16,Pending Scrutiny
CS202500955,FIR202503074,P004210,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ganesh Rao,Bengaluru Urban District & Sessions Court,4,17,2025-07-16,Accepted
CS202500816,FIR202502059,P004399,Assault,"BNS 115(2), BNS 117(2)",PI Naveen Patil,Ballari District & Sessions Court,4,8,2025-07-16,Accepted
CS202500799,FIR202504315,P009791,Vehicle Theft,BNS 303(2),PI Chetan Kumar,Bagalkote District & Sessions Court,2,24,2025-07-16,Returned for Correction
CS202500927,FIR202504870,P006603,Fraud,BNS 318(4),PI Ramesh Gowda,Bengaluru Urban District & Sessions Court,13,21,2025-07-16,Returned for Correction
CS202500867,FIR202502373,P000827,Vehicle Theft,BNS 303(2),SI Mahesh Bhat,Ballari District & Sessions Court,10,19,2025-07-16,Returned for Correction
CS202500851,FIR202501602,P001079,Assault,"BNS 115(2), BNS 117(2)",PI Harish Naik,Bidar District & Sessions Court,3,18,2025-07-16,Pending Scrutiny
CS202500813,FIR202501754,P005253,Dacoity,BNS 310(2),SI Divya Hegde,Bidar District & Sessions Court,3,12,2025-07-16,Filed
CS202500951,FIR202503507,P000543,POCSO,"POCSO Act Sec 4, BNS 64",PI Naveen Patil,Bidar District & Sessions Court,8,19,2025-07-17,Returned for Correction
CS202500672,FIR202504355,P006981,Robbery,BNS 309(4),SI Divya Hegde,Bidar District & Sessions Court,12,14,2025-07-17,Accepted
CS202500680,FIR202504839,P003806,Murder,BNS 103(1),SI Divya Hegde,Bidar District & Sessions Court,18,30,2025-07-17,Pending Scrutiny
CS202500579,FIR202501881,P008622,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Divya Hegde,Belagavi District & Sessions Court,13,7,2025-07-17,Pending Scrutiny
CS202500960,FIR202500586,P005833,POCSO,"POCSO Act Sec 4, BNS 64",SI Prakash Sharma,Bidar District & Sessions Court,2,28,2025-07-17,Returned for Correction
CS202500590,FIR202502132,P003250,Dacoity,BNS 310(2),SI Divya Hegde,Bidar District & Sessions Court,8,29,2025-07-17,Returned for Correction
CS202500612,FIR202501708,P008533,Assault,"BNS 115(2), BNS 117(2)",PI Naveen Patil,Bidar District & Sessions Court,5,24,2025-07-17,Pending Scrutiny
CS202501005,FIR202504432,P007089,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ganesh Rao,Bengaluru Rural District & Sessions Court,7,4,2025-07-18,Returned for Correction
CS202500808,FIR202503963,P008515,Burglary,"BNS 331(3), BNS 331(4)",SI Divya Hegde,Bidar District & Sessions Court,17,14,2025-07-18,Pending Scrutiny
CS202500863,FIR202501318,P001991,Burglary,"BNS 331(3), BNS 331(4)",SI Divya Hegde,Bengaluru Rural District & Sessions Court,14,7,2025-07-18,Returned for Correction
CS202500718,FIR202503572,P008971,Vehicle Theft,BNS 303(2),SI Prakash Sharma,Bengaluru Urban District & Sessions Court,15,8,2025-07-18,Returned for Correction
CS202500946,FIR202501417,P004598,POCSO,"POCSO Act Sec 4, BNS 64",SI Ganesh Rao,Bidar District & Sessions Court,4,28,2025-07-18,Returned for Correction
CS202500436,FIR202503069,P001969,Robbery,BNS 309(4),PI Suresh Kulkarni,Bengaluru Rural District & Sessions Court,16,18,2025-07-18,Pending Scrutiny
CS202500956,FIR202501233,P002667,Burglary,"BNS 331(3), BNS 331(4)",PI Harish Naik,Bidar District & Sessions Court,14,14,2025-07-18,Pending Scrutiny
CS202501061,FIR202500655,P000690,Assault,"BNS 115(2), BNS 117(2)",PI Suresh Kulkarni,Bidar District & Sessions Court,10,14,2025-07-18,Pending Scrutiny
CS202500991,FIR202503183,P006108,Assault,"BNS 115(2), BNS 117(2)",PI Chetan Kumar,Bidar District & Sessions Court,6,19,2025-07-18,Pending Scrutiny
CS202500801,FIR202503439,P003403,Burglary,"BNS 331(3), BNS 331(4)",PI Naveen Patil,Bengaluru Rural District & Sessions Court,15,6,2025-07-19,Filed
CS202500673,FIR202501152,P000658,Burglary,"BNS 331(3), BNS 331(4)",PI Chetan Kumar,Bidar District & Sessions Court,18,30,2025-07-19,Accepted
CS202500686,FIR202502473,P002536,Assault,"BNS 115(2), BNS 117(2)",SI Ravi Kumar,Chamarajanagar District & Sessions Court,16,11,2025-07-19,Accepted
CS202500773,FIR202504560,P003930,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Suresh Kulkarni,Chamarajanagar District & Sessions Court,4,29,2025-07-19,Pending Scrutiny
CS202500493,FIR202503610,P005733,Dacoity,BNS 310(2),SI Ravi Kumar,Bagalkote District & Sessions Court,16,27,2025-07-19,Filed
CS202500459,FIR202504613,P008325,Dacoity,BNS 310(2),PI Naveen Patil,Belagavi District & Sessions Court,17,29,2025-07-19,Returned for Correction
CS202500792,FIR202504055,P009153,Robbery,BNS 309(4),PI Lakshmi Devi,Belagavi District & Sessions Court,11,14,2025-07-19,Filed
CS202500931,FIR202503118,P005228,Assault,"BNS 115(2), BNS 117(2)",PI Lakshmi Devi,Bidar District & Sessions Court,16,27,2025-07-19,Accepted
CS202500806,FIR202501654,P009354,NDPS,NDPS Act Sec 20(b),SI Ravi Kumar,Bagalkote District & Sessions Court,15,6,2025-07-19,Pending Scrutiny
CS202500831,FIR202503372,P004690,Dacoity,BNS 310(2),PI Chetan Kumar,Bidar District & Sessions Court,11,22,2025-07-19,Filed
CS202500624,FIR202504321,P003934,Dacoity,BNS 310(2),PI Suresh Kulkarni,Chamarajanagar District & Sessions Court,12,27,2025-07-19,Accepted
CS202500697,FIR202503204,P009096,Vehicle Theft,BNS 303(2),SI Ravi Kumar,Belagavi District & Sessions Court,13,10,2025-07-19,Filed
CS202500621,FIR202501635,P001792,Assault,"BNS 115(2), BNS 117(2)",SI Mahesh Bhat,Belagavi District & Sessions Court,12,8,2025-07-20,Accepted
CS202500701,FIR202501470,P001293,Assault,"BNS 115(2), BNS 117(2)",SI Divya Hegde,Belagavi District & Sessions Court,2,19,2025-07-20,Filed
CS202500684,FIR202503512,P001763,Vehicle Theft,BNS 303(2),SI Divya Hegde,Bagalkote District & Sessions Court,4,25,2025-07-20,Accepted
CS202500711,FIR202504757,P007889,Robbery,BNS 309(4),PI Ramesh Gowda,Bengaluru Rural District & Sessions Court,18,7,2025-07-20,Pending Scrutiny
CS202501008,FIR202500913,P000551,POCSO,"POCSO Act Sec 4, BNS 64",SI Ganesh Rao,Bengaluru Urban District & Sessions Court,4,28,2025-07-21,Returned for Correction
CS202500883,FIR202501963,P002829,Vehicle Theft,BNS 303(2),SI Ravi Kumar,Bidar District & Sessions Court,16,26,2025-07-21,Accepted
CS202500884,FIR202503904,P001616,Assault,"BNS 115(2), BNS 117(2)",PI Chetan Kumar,Bidar District & Sessions Court,2,21,2025-07-21,Accepted
CS202500550,FIR202501098,P008126,Dacoity,BNS 310(2),SI Ganesh Rao,Bengaluru Rural District & Sessions Court,7,29,2025-07-21,Filed
